company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
OVO Energy,CA62-KIMM-PR-A4C5,Kimms Belt,Peak Reduction,2025-06-19T11:00:00+01:00,2025-06-19T12:00:00+01:00,0.0,0.01,0.0,1230.77,0.0,0.01,EV Charger DSR,demand_turn_down,1.0,epex,2025-06-19 10:00:00+00:00,2025-06-19 11:00:00+00:00,10:00:00+00:00
Octopus,OCTO-MARC-LTU-738D,March Primary,Long-Term Utilisation,2025-06-19T11:00:00+01:00,2025-06-19T11:30:00+01:00,0.0,0.248,0.0,86.0,0.0,0.12,EV Charger DSR,demand_turn_down,0.5,epex,2025-06-19 10:00:00+00:00,2025-06-19 10:30:00+00:00,10:00:00+00:00
Axle Energy Limited,waddesdon-lt_saou-ev-c1-portfolio,Waddesdon,Scheduled Availability,2025-06-19T11:00:00+01:00,2025-06-19T15:00:00+01:00,0.019,0.0,32.0,0.0,0.08,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 10:00:00+00:00,2025-06-19 14:00:00+00:00,10:00:00+00:00
Octopus,OCTO-THAX-LTU-6B9F,Thaxted Local,Long-Term Utilisation,2025-06-19T08:00:00+01:00,2025-06-19T23:00:00+01:00,0.0,0.199,0.0,3.0,0.0,2.98,EV Charger DSR,demand_turn_down,15.0,epex,2025-06-19 07:00:00+00:00,2025-06-19 22:00:00+00:00,07:00:00+00:00
Octopus,OCTO-WHIT-LTU-407D,White Roding,Long-Term Utilisation,2025-06-19T08:00:00+01:00,2025-06-19T23:00:00+01:00,0.0,0.154,0.0,15.0,0.0,2.31,EV Charger DSR,demand_turn_down,15.0,epex,2025-06-19 07:00:00+00:00,2025-06-19 22:00:00+00:00,07:00:00+00:00
Ohme,OHME-TROW-SAOU-A8EB,Trowse Grid 33,Scheduled Availability,2025-06-18T17:30:00+01:00,2025-06-18T19:30:00+01:00,0.07,0.0,40.0,0.0,0.14,0.0,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-18 16:30:00+00:00,2025-06-18 18:30:00+00:00,16:30:00+00:00
Axle Energy Limited,sevington-total-lt_saou-ev-c1-portfolio,Sevington Total,Scheduled Availability,2025-06-18T16:00:00+01:00,2025-06-18T19:00:00+01:00,0.043,0.0,82.0,0.0,0.13,0.0,EV Charger DSR,demand_turn_down,3.0,epex,2025-06-18 15:00:00+00:00,2025-06-18 18:00:00+00:00,15:00:00+00:00
Octopus,OCTO-LEYS-LTU-1503,Leysdown,Long-Term Utilisation,2025-06-18T15:30:00+01:00,2025-06-18T22:30:00+01:00,0.0,0.02,0.0,343.0,0.0,0.14,EV Charger DSR,demand_turn_down,7.0,epex,2025-06-18 14:30:00+00:00,2025-06-18 21:30:00+00:00,14:30:00+00:00
Axle Energy Limited,6930-HEND-PR-2869,Hendon Way,Peak Reduction,2025-06-18T15:00:00+01:00,2025-06-18T19:00:00+01:00,0.0,0.01,0.0,134.58,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 14:00:00+00:00,2025-06-18 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,selwyn-road-lt_saou-ev-c1-portfolio,Selwyn Road,Scheduled Availability,2025-06-18T15:00:00+01:00,2025-06-18T19:00:00+01:00,0.018,0.0,35.0,0.0,0.07,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 14:00:00+00:00,2025-06-18 18:00:00+00:00,14:00:00+00:00
